순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
586,079980,휴비스,"6,900","-200","-2.8","50,329","349,780,600","7,050","7,100","6,900","238,050,000,000","0.02","34,500,000",,,
587,092230,KPX홀딩스,"56,000","-1,100","-1.9","682","38,400,800","57,000","57,000","55,800","236,580,176,000","0.02","4,224,646",,,
588,066700,테라젠이텍스,"7,630","-640","-7.7","176,356","1,385,527,610","8,290","8,370","7,630","236,111,441,090","0.02","30,945,143",,,
589,102460,이연제약,"14,050","-250","-1.8","72,386","1,027,093,050","14,050","15,450","13,550","235,618,500,000","0.01","16,770,000",,,
590,004360,세방,"12,200","-300","-2.4","14,389","175,810,500","12,550","12,550","12,000","235,566,018,000","0.01","19,308,690",,,
591,003545,대신증권우,"9,040","-220","-2.4","109,459","996,667,900","9,260","9,270","9,040","235,040,000,000","0.01","26,000,000",,,
592,049070,인탑스,"13,600","-1,100","-7.5","61,356","848,687,450","14,500","14,700","13,550","233,920,000,000","0.01","17,200,000",,,
593,003120,일성신약,"87,600","-400","-0.4","97","8,487,000","87,800","87,800","87,000","233,016,000,000","0.01","2,660,000",,,
594,065620,제낙스,"10,350","-1,250","-10.8","121,710","1,318,072,000","11,700","11,700","10,350","232,737,800,400","0.01","22,486,744",,,
595,220630,해마로푸드서비스,"2,450","-20","-0.8","716,569","1,778,581,005","2,490","2,525","2,445","231,989,912,000","0.01","94,689,760",,,
596,004700,조광피혁,"34,800","-1,000","-2.8","4,368","151,753,700","35,700","35,800","34,000","231,390,002,400","0.01","6,649,138",,,
597,001940,KISCO홀딩스,"12,500","-500","-3.8","28,085","352,356,300","12,950","12,950","12,350","230,954,750,000","0.01","18,476,380",,,
598,013580,계룡건설,"25,850","-650","-2.4","10,698","276,708,250","26,000","26,400","25,650","230,863,945,950","0.01","8,930,907",,,
599,230240,에치에프알,"19,250","-1,000","-4.9","240,508","4,706,873,450","20,150","20,200","19,250","230,653,885,000","0.01","11,982,020",,,
600,095270,웨이브일렉트로,"21,050","-2,300","-9.8","159,756","3,522,410,950","23,450","23,650","20,850","230,245,594,650","0.01","10,938,033",,,
601,272550,삼양패키징,"16,200","-500","-3.0","25,619","419,289,400","16,600","16,700","16,100","230,198,824,800","0.01","14,209,804",,,
602,067080,대화제약,"12,600","-700","-5.3","132,431","1,707,229,800","13,350","13,450","12,550","229,634,672,400","0.01","18,224,974",,,
603,001200,유진투자증권,"2,365","-115","-4.6","449,376","1,070,249,845","2,480","2,485","2,350","229,089,078,570","0.01","96,866,418",,,
604,074610,나노메딕스,"6,800","-1,680","-19.8","2,022,566","15,420,646,700","8,390","8,390","6,800","228,885,830,800","0.01","33,659,681",,,
605,102940,코오롱생명과학,"20,050","-1,350","-6.3","183,245","3,801,366,000","21,800","22,050","20,000","228,817,737,800","0.01","11,412,356",,,
606,002840,미원상사,"45,400","0","0.0","0","0","0","0","0","228,580,964,200","0.01","5,034,823",,,
607,229640,LS전선아시아,"7,450","-560","-7.0","126,891","974,488,610","7,960","8,010","7,440","228,155,348,550","0.01","30,624,879",,,
608,068400,AJ렌터카,"10,300","-550","-5.1","110,257","1,160,827,150","10,850","10,850","10,250","228,106,890,000","0.01","22,146,300",,,
609,007160,사조산업,"45,250","-1,750","-3.7","13,460","615,471,900","46,650","47,100","45,250","226,250,000,000","0.01","5,000,000",,,
610,299660,셀리드,"23,650","-1,150","-4.6","66,263","1,591,584,750","24,500","24,950","23,550","226,181,315,800","0.01","9,563,692",,,
611,082920,비츠로셀,"10,500","-300","-2.8","45,174","479,638,300","10,650","10,800","10,500","226,161,096,000","0.01","21,539,152",,,
612,003570,S&T중공업,"6,800","-80","-1.2","4,370","29,373,120","6,900","6,900","6,600","226,118,339,600","0.01","33,252,697",,,
613,950170,JTC,"6,450","-400","-5.8","173,406","1,151,990,340","6,920","7,050","6,350","225,785,584,650","0.01","35,005,517",,,
614,051370,인터플렉스,"9,650","-700","-6.8","238,456","2,350,633,160","10,200","10,350","9,640","225,110,104,800","0.01","23,327,472",,,
615,136480,하림,"2,585","-140","-5.1","502,778","1,319,793,860","2,700","2,735","2,580","224,755,249,730","0.01","86,945,938",,,
616,067390,아스트,"8,750","-360","-4.0","368,871","3,262,204,250","9,060","9,170","8,750","224,696,955,000","0.01","25,679,652",,,
617,195870,해성디에스,"13,200","-700","-5.0","53,400","716,538,300","13,650","13,800","13,150","224,400,000,000","0.01","17,000,000",,,
618,005070,코스모신소재,"11,300","-1,000","-8.1","361,066","4,174,989,600","12,300","12,350","11,300","223,152,004,500","0.01","19,747,965",,,
619,018120,진로발효,"29,600","50","0.2","1,411","41,588,200","29,700","29,700","29,300","222,710,400,000","0.01","7,524,000",,,
620,110790,크리스에프앤씨,"19,000","950","5.3","13,254","241,161,700","17,900","19,000","17,250","222,594,120,000","0.01","11,715,480",,,
621,226950,올릭스,"34,200","-1,900","-5.3","132,293","4,657,938,900","35,200","35,900","34,200","222,543,538,200","0.01","6,507,121",,,
622,183300,코미코,"25,350","-750","-2.9","25,763","650,746,100","26,000","26,100","24,000","222,446,250,000","0.01","8,775,000",,,
623,011040,경동제약,"8,370","-260","-3.0","19,574","165,843,350","8,630","8,630","8,350","222,223,500,000","0.01","26,550,000",,,
624,214180,민앤지,"17,500","-950","-5.2","169,784","3,025,862,150","18,150","18,450","17,500","221,943,330,000","0.01","12,682,476",,,
625,003030,세아제강지주,"53,400","-1,500","-2.7","6,494","346,175,500","54,600","54,900","52,300","221,164,483,800","0.01","4,141,657",,,
626,016250,이테크건설,"78,900","-4,100","-4.9","15,039","1,210,477,800","81,700","83,700","78,600","220,920,000,000","0.01","2,800,000",,,
627,104480,티케이케미칼,"2,430","-205","-7.8","1,715,035","4,271,492,905","2,635","2,655","2,425","220,875,904,620","0.01","90,895,434",,,
628,039440,에스티아이,"13,950","-550","-3.8","282,750","4,015,541,750","14,400","14,650","13,850","220,828,500,000","0.01","15,830,000",,,
629,033500,동성화인텍,"8,170","-110","-1.3","207,911","1,689,540,160","8,160","8,300","7,950","220,456,085,530","0.01","26,983,609",,,
630,042520,한스바이오메드,"22,200","-650","-2.8","82,921","1,819,163,050","22,850","22,850","21,500","219,834,478,800","0.01","9,902,454",,,
631,004710,한솔테크닉스,"6,830","-260","-3.7","684,581","4,641,893,700","7,000","7,100","6,610","219,310,466,740","0.01","32,109,878",,,
632,243840,신흥에스이씨,"33,450","-2,400","-6.7","103,666","3,525,421,200","35,650","35,650","33,450","219,153,796,350","0.01","6,551,683",,,
633,087010,펩트론,"14,250","-450","-3.1","163,956","2,292,913,500","14,600","14,600","13,500","218,402,625,000","0.01","15,326,500",,,
634,095570,AJ네트웍스,"4,660","-130","-2.7","25,811","119,913,755","4,790","4,790","4,530","218,191,894,700","0.01","46,822,295",,,
635,138490,코오롱플라스틱,"5,730","230","4.2","1,161,046","6,577,613,730","5,650","5,840","5,500","217,740,000,000","0.01","38,000,000",,,
636,039560,다산네트웍스,"6,920","-280","-3.9","706,465","4,939,929,590","7,140","7,190","6,900","216,713,563,880","0.01","31,316,989",,,
637,284610,TS트릴리온,"5,750","-70","-1.2","1,345","7,655,120","5,900","5,900","5,650","216,527,750,000","0.01","37,657,000",,,
638,003200,일신방직,"90,100","-700","-0.8","659","59,132,200","89,900","90,200","89,300","216,240,000,000","0.01","2,400,000",,,
639,078150,HB테크놀러지,"2,735","-135","-4.7","1,397,229","3,866,701,925","2,860","2,870","2,715","216,038,815,110","0.01","78,990,426",,,
640,000680,LS네트웍스,"2,740","-115","-4.0","27,109","74,711,900","2,855","2,905","2,705","215,920,263,840","0.01","78,803,016",,,
641,035510,신세계 I&C,"125,000","-4,000","-3.1","6,621","831,503,500","130,000","130,000","123,000","215,000,000,000","0.01","1,720,000",,,
642,086820,바이오솔루션,"26,900","-3,350","-11.1","160,701","4,469,907,000","29,850","30,000","26,900","214,725,914,400","0.01","7,982,376",,,
643,206640,바디텍메드,"9,110","-110","-1.2","94,704","867,492,590","9,200","9,400","9,010","213,798,417,620","0.01","23,468,542",,,
644,159580,제로투세븐,"10,650","-400","-3.6","95,949","1,018,784,450","11,000","11,200","10,250","213,347,573,400","0.01","20,032,636",,,
645,092130,이크레더블,"17,600","-200","-1.1","5,871","102,907,300","17,800","17,800","17,400","211,967,360,000","0.01","12,043,600",,,
646,031330,에스에이엠티,"2,105","-125","-5.6","3,504,612","7,533,565,385","2,220","2,225","2,105","210,489,616,035","0.01","99,995,067",,,
647,001270,부국증권,"20,250","-350","-1.7","5,071","103,163,650","20,600","20,700","20,250","209,990,191,500","0.01","10,369,886",,,
648,003070,코오롱글로벌,"8,300","-300","-3.5","40,508","339,126,940","8,600","8,750","8,210","209,246,635,400","0.01","25,210,438",,,
649,143160,아이디스,"19,500","150","0.8","295,090","5,795,685,400","19,500","20,300","19,300","208,969,605,000","0.01","10,716,390",,,
650,176440,에이치엔티,"14,450","-800","-5.2","181,068","2,658,325,100","15,100","15,350","14,200","208,520,407,100","0.01","14,430,478",,,
651,239340,줌인터넷,"8,790","-210","-2.3","6,764,197","62,407,897,140","9,120","9,800","8,680","208,504,909,050","0.01","23,720,695",,,
652,007110,일신석재,"2,690","-195","-6.8","2,426,001","6,694,437,940","2,770","2,845","2,690","208,358,280,900","0.01","77,456,610",,,
653,006490,인스코비,"2,310","-230","-9.1","1,007,601","2,388,978,005","2,550","2,560","2,300","208,255,049,310","0.01","90,153,701",,,
654,200670,휴메딕스,"20,850","-1,350","-6.1","41,518","880,417,100","22,250","22,250","20,550","207,899,394,900","0.01","9,971,194",,,
655,271400,알로이스,"76,100","0","0.0","0","0","0","0","0","207,479,040,000","0.01","2,726,400",,,
656,004970,신라교역,"12,950","0","0.0","13,963","178,077,500","13,000","13,050","12,650","207,200,000,000","0.01","16,000,000",,,
657,054780,키이스트,"2,430","-235","-8.8","1,941,300","4,901,217,560","2,610","2,630","2,420","206,976,768,750","0.01","85,175,625",,,
658,005390,신성통상,"1,435","200","16.2","74,479,744","103,019,005,485","1,250","1,480","1,250","206,221,539,650","0.01","143,708,390",,,
659,293780,압타바이오,"18,950","-1,500","-7.3","248,325","4,871,825,850","20,200","20,350","18,950","206,208,840,350","0.01","10,881,733",,,
660,005680,삼영전자,"10,300","-150","-1.4","49,204","505,832,650","10,500","10,550","10,150","206,000,000,000","0.01","20,000,000",,,
661,228850,레이언스,"12,400","-350","-2.8","42,697","523,762,500","12,750","12,900","12,000","205,728,573,600","0.01","16,591,014",,,
662,236200,슈프리마,"28,700","-950","-3.2","52,093","1,497,610,350","29,600","29,600","28,550","205,499,835,100","0.01","7,160,273",,,
663,214390,경보제약,"8,580","-370","-4.1","58,855","515,300,170","8,980","9,050","8,560","205,120,858,800","0.01","23,906,860",,,
664,214870,뉴지랩,"8,270","-730","-8.1","404,122","3,419,631,570","8,860","9,010","8,200","204,935,983,770","0.01","24,780,651",,,
665,238090,앤디포스,"4,855","-295","-5.7","578,910","2,837,686,990","5,150","5,180","4,740","203,701,332,100","0.01","41,957,020",,,
666,043610,지니뮤직,"3,490","0","0.0","206,204","723,676,650","3,450","3,650","3,440","202,822,878,620","0.01","58,115,438",,,
667,023770,플레이위드,"47,550","750","1.6","685,773","32,235,948,850","45,350","50,500","43,500","202,721,674,350","0.01","4,263,337",,,
668,060280,큐렉소,"6,070","-240","-3.8","32,758","199,378,270","6,310","6,310","5,980","202,478,525,710","0.01","33,357,253",,,
669,043370,평화정공,"9,600","-700","-6.8","170,704","1,680,336,790","10,350","10,350","9,580","201,600,000,000","0.01","21,000,000",,,
670,004150,한솔홀딩스,"4,265","-205","-4.6","150,827","651,450,935","4,525","4,525","4,265","201,238,390,935","0.01","47,183,679",,,
671,054950,제이브이엠,"31,700","-2,900","-8.4","18,652","604,831,550","33,850","34,000","31,550","200,689,783,600","0.01","6,330,908",,,
672,002020,코오롱,"15,850","-900","-5.4","54,119","870,787,650","16,800","17,000","15,850","200,128,852,100","0.01","12,626,426",,,
673,045100,한양이엔지,"11,100","-500","-4.3","82,246","925,103,500","11,600","11,700","11,050","199,800,000,000","0.01","18,000,000",,,
674,138690,엘아이에스,"12,500","-100","-0.8","69,992","867,423,550","12,600","12,750","12,200","199,223,412,500","0.01","15,937,873",,,
675,023910,대한약품,"33,200","-350","-1.0","13,158","439,994,100","33,550","34,000","33,150","199,200,000,000","0.01","6,000,000",,,
676,121440,골프존뉴딘홀딩스,"4,635","-135","-2.8","115,504","542,561,500","4,695","4,765","4,615","198,548,651,430","0.01","42,836,818",,,
677,220250,카이노스메드,"14,350","-700","-4.6","25,470","365,005,000","15,000","15,000","14,000","197,220,817,850","0.01","13,743,611",,,
678,001250,GS글로벌,"2,385","-110","-4.4","320,486","772,197,710","2,485","2,500","2,370","196,843,027,140","0.01","82,533,764",,,
679,007660,이수페타시스,"4,760","-280","-5.6","561,977","2,708,761,530","5,020","5,070","4,715","196,437,574,480","0.01","41,268,398",,,
680,067290,JW신약,"4,700","-310","-6.2","292,405","1,410,367,500","5,100","5,100","4,700","195,835,680,200","0.01","41,667,166",,,
681,052330,코텍,"12,550","-300","-2.3","70,656","884,477,700","12,850","12,850","12,300","195,460,627,600","0.01","15,574,552",,,
682,016610,DB금융투자,"4,600","-205","-4.3","101,411","470,283,040","4,830","4,830","4,560","195,253,389,400","0.01","42,446,389",,,
683,052260,SK바이오랜드,"12,950","-850","-6.2","74,286","985,613,200","13,600","13,900","12,950","194,250,000,000","0.01","15,000,000",,,
684,191420,테고사이언스,"24,000","-300","-1.2","34,160","831,140,100","24,500","25,100","24,000","194,055,216,000","0.01","8,085,634",,,
685,251370,와이엠티,"26,150","-1,450","-5.2","83,337","2,209,591,750","27,050","27,550","25,000","193,645,980,000","0.01","7,405,200",,,
686,009520,포스코엠텍,"4,650","-235","-4.8","482,326","2,293,323,605","4,880","4,925","4,650","193,638,568,950","0.01","41,642,703",,,
687,089030,테크윙,"10,000","-900","-8.3","359,159","3,690,246,010","10,800","10,900","10,000","193,187,860,000","0.01","19,318,786",,,
688,060240,룽투코리아,"7,970","130","1.7","1,066,508","8,574,849,160","7,840","8,500","7,510","192,683,780,010","0.01","24,176,133",,,
689,004060,SG세계물산,"950","-130","-12.0","6,982,638","6,940,942,590","1,065","1,075","950","192,303,712,000","0.01","202,424,960",,,
690,215360,우리산업,"20,900","-700","-3.2","79,498","1,662,588,050","21,350","21,750","20,250","190,862,206,700","0.01","9,132,163",,,
691,085370,루트로닉,"7,480","-410","-5.2","190,406","1,435,448,530","7,790","8,000","7,380","189,895,552,880","0.01","25,387,106",,,
692,121600,나노신소재,"17,500","-1,000","-5.4","177,244","3,135,752,400","18,500","18,500","17,450","189,845,827,500","0.01","10,848,333",,,
693,036190,금화피에스시,"31,600","-1,300","-4.0","2,466","78,647,650","32,750","32,750","31,600","189,600,000,000","0.01","6,000,000",,,
694,306200,세아제강,"66,500","-1,000","-1.5","6,092","404,478,700","67,800","67,800","65,300","188,613,950,000","0.01","2,836,300",,,
695,053610,프로텍,"18,250","-800","-4.2","33,926","624,602,650","18,850","18,950","18,200","188,310,088,250","0.01","10,318,361",,,
696,026890,디피씨,"4,505","-170","-3.6","586,338","2,696,909,505","4,645","4,730","4,500","187,760,178,375","0.01","41,678,175",,,
697,001290,상상인증권,"1,950","-120","-5.8","254,386","498,975,450","2,070","2,070","1,915","187,411,452,150","0.01","96,108,437",,,
698,005960,동부건설,"8,970","-200","-2.2","50,938","456,552,390","9,170","9,240","8,870","187,264,393,680","0.01","20,876,744",,,
699,131370,알서포트,"3,515","-240","-6.4","1,234,525","4,387,962,105","3,760","3,795","3,400","187,233,796,745","0.01","53,267,083",,,
700,091120,이엠텍,"11,650","-900","-7.2","131,875","1,571,679,950","12,550","12,550","11,650","187,109,904,400","0.01","16,060,936",,,
701,194700,노바렉스,"20,750","-850","-3.9","48,410","1,010,343,900","21,200","21,400","20,550","186,827,605,000","0.01","9,003,740",,,
702,060720,KH바텍,"8,800","-960","-9.8","368,379","3,338,589,480","9,780","9,780","8,770","185,964,020,000","0.01","21,132,275",,,
703,012700,리드코프,"6,950","1,110","19.0","21,549,240","147,853,247,280","5,840","7,450","5,730","185,907,148,500","0.01","26,749,230",,,
704,109740,디에스케이,"9,100","-480","-5.0","95,921","883,898,420","9,580","9,580","9,040","185,228,343,300","0.01","20,354,763",,,
705,090360,로보스타,"18,950","-1,150","-5.7","69,678","1,347,855,600","19,900","20,300","18,850","184,762,500,000","0.01","9,750,000",,,
706,010600,웰바이오텍,"4,375","150","3.6","956,197","4,242,721,080","4,485","4,615","4,225","184,613,279,375","0.01","42,197,321",,,
707,040910,아이씨디,"10,900","-750","-6.4","482,785","5,296,924,100","11,550","11,600","10,700","183,643,636,000","0.01","16,848,040",,,
708,005090,삼광글라스,"37,800","-200","-0.5","3,966","150,561,800","37,300","39,000","37,000","183,497,000,400","0.01","4,854,418",,,
709,011930,신성이엔지,"1,050","-35","-3.2","683,542","711,166,170","1,070","1,080","1,025","182,416,694,250","0.01","173,730,185",,,
710,260930,씨티케이코스메틱스,"18,000","-1,250","-6.5","20,247","366,022,500","18,950","19,100","17,700","182,198,718,000","0.01","10,122,151",,,
711,011810,STX,"9,230","-160","-1.7","17,166","158,264,680","9,220","9,390","9,110","182,079,305,460","0.01","19,726,902",,,
712,065530,전파기지국,"3,440","-385","-10.1","676,775","2,446,574,150","3,830","3,885","3,440","181,838,400,000","0.01","52,860,000",,,
713,097780,에스맥,"823","-47","-5.4","4,471,960","3,871,929,960","870","918","790","181,832,199,502","0.01","220,938,274",,,
714,004960,한신공영,"15,700","-250","-1.6","26,950","421,310,450","16,100","16,100","15,500","181,660,021,400","0.01","11,570,702",,,
715,016380,동부제철,"6,660","-260","-3.8","21,494","147,450,580","7,070","7,070","6,610","181,374,603,840","0.01","27,233,424",,,
716,007820,에스엠코어,"9,050","-650","-6.7","161,836","1,492,701,630","9,700","9,700","9,000","181,307,211,300","0.01","20,033,946",,,
717,044490,태웅,"9,060","-440","-4.6","58,039","528,946,450","9,550","9,550","8,990","181,266,871,860","0.01","20,007,381",,,
718,128820,대성산업,"3,995","-265","-6.2","279,464","1,126,512,275","4,095","4,140","3,900","180,715,734,610","0.01","45,235,478",,,
719,030960,양지사,"11,300","-300","-2.6","123,300","1,418,267,750","11,500","11,850","11,200","180,574,000,000","0.01","15,980,000",,,
720,245620,EDGC,"4,990","-230","-4.4","176,947","893,765,655","5,170","5,240","4,985","180,502,970,600","0.01","36,172,940",,,
721,194370,제이에스코퍼레이션,"13,500","-200","-1.5","80,052","1,067,949,050","13,800","13,800","12,950","180,030,613,500","0.01","13,335,601",,,
722,036580,팜스코,"4,900","-110","-2.2","119,748","588,781,935","5,090","5,090","4,850","179,966,920,700","0.01","36,727,943",,,
723,121800,비덴트,"6,440","-480","-6.9","467,223","3,113,297,900","6,920","6,940","6,440","179,505,488,120","0.01","27,873,523",,,
724,002070,남영비비안,"26,050","6,000","29.9","1,325,890","32,911,174,900","23,300","26,050","22,900","178,909,967,250","0.01","6,867,945",,,
725,004980,성신양회,"7,290","-450","-5.8","235,644","1,746,924,250","7,670","7,740","7,290","178,722,172,170","0.01","24,516,073",,,
726,282690,동아타이어,"13,000","100","0.8","848","10,945,250","12,900","13,000","12,750","178,529,195,000","0.01","13,733,015",,,
727,108790,인터파크,"5,370","-330","-5.8","165,061","901,826,720","5,720","5,770","5,350","178,044,927,600","0.01","33,155,480",,,
728,037460,삼지전자,"10,900","-1,200","-9.9","626,132","7,049,369,750","12,100","12,150","10,900","177,871,889,800","0.01","16,318,522",,,
729,052710,아모텍,"18,250","-1,000","-5.2","126,696","2,345,652,300","19,150","19,250","18,050","177,817,159,500","0.01","9,743,406",,,
730,168490,한국패러랠,"2,220","0","0.0","30,271","67,092,180","2,240","2,240","2,215","177,644,400,000","0.01","80,020,000",,,
731,054050,농우바이오,"11,050","-250","-2.2","53,692","592,629,500","11,300","11,350","10,900","177,137,699,050","0.01","16,030,561",,,
732,001790,대한제당,"19,900","100","0.5","5,842","114,482,150","19,800","20,200","19,200","175,916,039,800","0.01","8,840,002",,,
733,046440,KG모빌리언스,"5,880","-120","-2.0","52,475","312,280,830","5,950","6,070","5,850","175,852,907,160","0.01","29,906,957",,,
734,001530,DI동일,"72,500","-2,600","-3.5","3,612","265,802,800","76,900","76,900","71,500","175,552,950,000","0.01","2,421,420",,,
735,029460,케이씨,"12,950","-900","-6.5","96,923","1,274,623,800","13,750","13,850","12,950","175,524,869,800","0.01","13,554,044",,,
736,036180,영인프런티어,"9,970","-430","-4.1","492,414","4,987,565,120","10,200","10,500","9,940","175,475,399,770","0.01","17,600,341",,,
737,189300,인텔리안테크,"24,150","-500","-2.0","59,284","1,434,414,950","24,350","24,900","23,800","175,070,015,400","0.01","7,249,276",,,
738,095190,이엠코리아,"4,810","-420","-8.0","777,250","3,870,775,235","5,120","5,160","4,810","174,760,306,240","0.01","36,332,704",,,
739,201490,미투온,"5,590","-350","-5.9","350,430","2,000,687,230","5,910","5,990","5,590","174,730,934,300","0.01","31,257,770",,,
740,302430,이노메트리,"36,200","1,100","3.1","118,737","4,311,763,300","36,000","36,900","35,200","174,668,909,600","0.01","4,825,108",,,
741,005389,현대차3우B,"71,900","-1,800","-2.4","5,428","390,186,800","73,500","73,500","71,100","174,626,046,500","0.01","2,428,735",,,
742,206650,유바이오로직스,"6,500","-170","-2.6","141,266","917,979,770","6,680","6,700","6,410","173,810,604,500","0.01","26,740,093",,,
743,066430,와이오엠,"14,250","-100","-0.7","352,437","5,125,902,700","14,500","15,050","14,100","173,787,043,500","0.01","12,195,582",,,
744,000700,유수홀딩스,"6,670","-20","-0.3","13,627","90,799,830","6,600","6,750","6,520","173,698,886,040","0.01","26,041,812",,,
745,033240,자화전자,"9,690","-360","-3.6","140,700","1,369,810,910","9,950","10,100","9,650","173,451,000,000","0.01","17,900,000",,,
746,064260,다날,"2,805","-215","-7.1","888,816","2,556,471,780","3,015","3,040","2,805","173,247,220,575","0.01","61,763,715",,,
747,093320,케이아이엔엑스,"35,500","-650","-1.8","21,869","774,887,250","35,800","36,800","34,700","173,240,000,000","0.01","4,880,000",,,
748,225570,넷게임즈,"7,210","-450","-5.9","75,434","555,551,490","7,500","7,790","6,990","173,193,032,250","0.01","24,021,225",,,
749,033160,엠케이전자,"7,910","-340","-4.1","112,376","902,145,850","8,130","8,190","7,910","172,498,819,990","0.01","21,807,689",,,
750,179290,엠아이텍,"5,640","230","4.2","10,671,129","60,980,768,530","5,610","6,080","5,230","171,588,867,120","0.01","30,423,558",,,
751,009160,SIMPAC,"2,620","-155","-5.6","296,228","783,240,115","2,740","2,775","2,595","171,425,331,920","0.01","65,429,516",,,
752,180400,캔서롭,"7,740","0","0.0","0","0","0","0","0","171,289,543,680","0.01","22,130,432",,,
753,002170,삼양통상,"57,000","-700","-1.2","6,506","371,682,900","57,400","57,800","56,300","171,000,000,000","0.01","3,000,000",,,
754,264450,유비쿼스,"33,350","-2,700","-7.5","122,919","4,112,407,500","36,350","36,400","32,750","170,883,899,250","0.01","5,123,955",,,
755,008700,아남전자,"2,215","-215","-8.8","1,596,444","3,659,766,020","2,395","2,430","2,215","170,831,476,300","0.01","77,124,820",,,
756,300080,플리토,"33,000","-7,200","-17.9","568,908","20,804,556,500","40,450","40,950","33,000","170,603,763,000","0.01","5,169,811",,,
757,072020,중앙백신,"17,100","-1,450","-7.8","301,286","5,303,143,850","18,150","18,400","17,100","170,316,000,000","0.01","9,960,000",,,
758,058610,에스피지,"8,150","0","0.0","1,200,246","10,271,699,140","8,930","9,000","8,110","170,147,346,250","0.01","20,876,975",,,
759,203690,프로스테믹스,"3,725","-375","-9.2","301,364","1,173,823,570","4,055","4,105","3,725","170,144,962,500","0.01","45,676,500",,,
760,263720,디앤씨미디어,"14,100","-250","-1.7","56,374","778,723,600","14,450","14,450","13,500","169,782,936,300","0.01","12,041,343",,,
761,035150,백산,"7,000","-50","-0.7","101,009","703,421,530","7,010","7,070","6,910","169,400,000,000","0.01","24,200,000",,,
762,001780,알루코,"2,265","-120","-5.0","262,082","598,617,855","2,385","2,400","2,255","168,797,091,030","0.01","74,524,102",,,
763,044820,코스맥스비티아이,"17,550","-650","-3.6","16,618","294,930,800","17,600","18,200","17,500","168,548,813,550","0.01","9,603,921",,,
764,226340,본느,"5,600","-470","-7.7","757,118","4,328,233,470","5,880","6,000","5,590","168,547,097,600","0.01","30,097,696",,,
765,241710,코스메카코리아,"15,750","-900","-5.4","41,064","658,142,550","16,450","16,550","15,550","168,210,000,000","0.01","10,680,000",,,
766,089470,HDC현대EP,"5,270","-150","-2.8","38,263","203,788,510","5,420","5,440","5,270","168,113,000,000","0.01","31,900,000",,,
767,005945,NH투자증권우,"8,900","-250","-2.7","221,888","1,986,174,110","9,150","9,150","8,850","167,951,615,200","0.01","18,870,968",,,
768,068930,디지털대성,"7,430","330","4.6","326,904","2,548,239,280","7,640","8,400","7,220","167,507,291,890","0.01","22,544,723",,,
769,017890,한국알콜,"7,730","-330","-4.1","77,604","603,469,540","8,060","8,060","7,660","167,012,524,800","0.01","21,605,760",,,
770,073490,이노와이어리스,"27,750","100","0.4","259,597","7,312,078,050","27,550","28,800","27,500","166,569,375,000","0.01","6,002,500",,,
771,007720,대명코퍼레이션,"1,645","-145","-8.1","1,080,869","1,837,502,065","1,780","1,790","1,645","165,816,740,250","0.01","100,800,450",,,
772,100790,미래에셋벤처투자,"5,400","-420","-7.2","225,246","1,255,160,840","5,740","5,790","5,400","165,602,961,000","0.01","30,667,215",,,
773,061040,알에프텍,"7,750","-570","-6.8","354,887","2,826,049,050","8,300","8,300","7,720","165,351,721,500","0.01","21,335,706",,,
774,014990,인디에프,"2,805","-285","-9.2","2,208,014","6,445,373,450","3,050","3,085","2,775","165,307,050,975","0.01","58,932,995",,,
775,075580,세진중공업,"4,295","5","0.1","671,095","2,974,875,775","4,280","4,850","4,055","164,810,832,400","0.01","38,372,720",,,
776,006620,동구바이오제약,"17,150","-100","-0.6","78,547","1,308,030,600","17,150","17,250","16,200","164,708,600,000","0.01","9,604,000",,,
777,110990,디아이티,"8,700","-680","-7.2","85,564","750,992,750","9,220","9,230","8,560","164,430,000,000","0.01","18,900,000",,,
778,077500,유니퀘스트,"6,030","-290","-4.6","137,761","835,734,220","6,400","6,400","5,900","164,232,929,250","0.01","27,235,975",,,
779,091090,세원셀론텍,"2,690","-200","-6.9","530,258","1,456,625,475","2,890","2,950","2,685","164,065,230,480","0.01","60,990,792",,,
780,002795,아모레G우,"25,450","150","0.6","8,655","217,597,500","25,250","25,950","24,700","163,993,946,500","0.01","6,443,770",,,
781,015890,태경산업,"5,610","-100","-1.8","178,828","1,006,991,680","5,700","5,870","5,540","163,973,287,500","0.01","29,228,750",,,
782,125210,아모그린텍,"9,920","-780","-7.3","287,631","2,909,074,070","10,650","10,750","9,920","163,648,156,800","0.01","16,496,790",,,
783,175250,아이큐어,"25,400","-2,100","-7.6","66,375","1,723,068,900","27,500","27,750","25,300","162,911,510,600","0.01","6,413,839",,,
784,217270,넵튠,"7,440","-410","-5.2","44,975","338,191,550","7,950","7,950","7,300","162,900,436,800","0.01","21,895,220",,,
785,214420,토니모리,"9,200","-760","-7.6","106,328","1,005,477,780","9,910","10,050","9,150","162,288,000,000","0.01","17,640,000",,,
786,009270,신원,"1,905","-110","-5.5","1,937,463","3,790,769,875","1,985","2,015","1,905","162,005,960,595","0.01","85,042,499",,,
787,036890,진성티이씨,"7,150","-290","-3.9","115,891","842,556,660","7,400","7,480","7,150","160,748,216,200","0.01","22,482,268",,,
788,002460,화성산업,"12,900","-350","-2.6","62,407","810,849,350","13,200","13,250","12,850","160,615,320,000","0.01","12,450,800",,,
