순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
58,081660,휠라코리아,"64,600","-2,000","-3.0","208,837","13,638,479,900","66,700","67,000","64,000","3,948,033,522,000","0.25","61,115,070",,,
59,023530,롯데쇼핑,"139,500","-4,000","-2.8","65,192","9,178,072,500","143,500","144,000","139,500","3,946,281,322,500","0.25","28,288,755",,,
60,005830,DB손해보험,"55,300","400","0.7","121,865","6,711,141,500","54,900","55,700","54,400","3,915,240,000,000","0.25","70,800,000",,,
61,161390,한국타이어앤테크놀로지,"31,550","0","0.0","172,932","5,440,847,000","31,250","31,750","31,150","3,908,258,426,950","0.25","123,875,069",,,
62,036460,한국가스공사,"41,950","-500","-1.2","124,923","5,258,857,200","42,350","42,800","41,800","3,872,530,350,000","0.25","92,313,000",,,
63,012750,에스원,"99,900","900","0.9","37,500","3,739,612,600","99,100","100,500","98,800","3,796,117,882,200","0.24","37,999,178",,,
64,005940,NH투자증권,"13,200","-550","-4.0","1,568,911","20,727,662,100","13,750","13,800","13,000","3,714,597,308,400","0.24","281,408,887",,,
65,004990,롯데지주,"35,200","-1,200","-3.3","159,158","5,660,085,350","36,000","36,350","35,200","3,692,805,142,400","0.23","104,909,237",,,
66,000210,대림산업,"104,500","-1,500","-1.4","105,752","11,029,056,500","105,000","106,000","103,000","3,636,600,000,000","0.23","34,800,000",,,
67,241560,두산밥캣,"35,900","250","0.7","123,201","4,387,785,600","35,150","36,100","35,100","3,598,945,059,400","0.23","100,249,166",,,
68,035760,CJ ENM,"162,200","-1,300","-0.8","55,664","9,065,214,800","163,300","164,300","160,300","3,556,908,778,800","0.23","21,929,154",,,
69,282330,BGF리테일,"202,000","500","0.2","14,945","3,009,800,500","200,000","205,000","199,000","3,491,349,012,000","0.22","17,283,906",,,
70,139480,이마트,"123,000","-3,500","-2.8","114,994","14,274,356,500","126,000","127,000","123,000","3,428,725,737,000","0.22","27,875,819",,,
71,047810,한국항공우주,"35,100","-800","-2.2","270,750","9,545,656,450","35,800","35,900","34,900","3,421,376,255,700","0.22","97,475,107",,,
72,128940,한미약품,"286,500","-5,500","-1.9","45,533","13,144,228,000","291,000","295,000","285,000","3,326,890,716,000","0.21","11,612,184",,,
73,016360,삼성증권,"37,000","-1,000","-2.6","407,004","15,046,671,450","37,800","38,150","36,600","3,304,100,000,000","0.21","89,300,000",,,
74,215600,신라젠,"45,700","-1,300","-2.8","505,536","23,534,935,750","46,500","47,500","45,700","3,247,082,112,500","0.21","71,052,125",,,
