종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
001040,CJ,"79,100","-1,400","1.74","79,100","79,000","190,108","15,026,669,800","80,500","80,600","78,000","5,000",원(KRW),"29,176,998","2,307,900,541,800",
079160,CJ CGV,"33,200","-1,050","3.07","33,200","33,150","101,610","3,395,543,600","34,200","34,200","33,000","500",원(KRW),"21,161,313","702,555,591,600",
035760,CJ ENM,"162,600","-1,500","0.91","163,200","162,600","41,676","6,811,125,200","164,200","167,500","161,700","5,000",원(KRW),"21,929,154","3,565,680,440,400",
00104K,CJ4우(전환),"53,600","-1,000","1.83","54,100","53,600","166,709","9,073,758,600","54,400","56,200","53,000","5,000",원(KRW),"4,226,512","226,541,043,200",
000120,CJ대한통운,"141,000","3,500","2.55","141,000","140,500","58,334","8,166,781,000","136,500","142,000","136,000","5,000",원(KRW),"22,812,344","3,216,540,504,000",
011150,CJ씨푸드,"3,000","-75","2.44","3,005","3,000","4,528,731","13,805,170,125","3,010","3,160","2,920","500",원(KRW),"35,930,773","107,792,319,000",
011155,CJ씨푸드1우,"33,250","-1,750","5.00","33,300","33,250","43,662","1,455,441,300","33,550","34,400","32,700","500",원(KRW),"200,000","6,650,000,000",
001045,CJ우,"43,400","-2,050","4.51","43,450","43,400","34,921","1,526,694,300","45,600","45,800","43,350","5,000",원(KRW),"2,260,223","98,093,678,200",
097950,CJ제일제당,"242,500","-5,500","2.22","243,000","242,500","75,526","18,388,097,000","248,500","249,500","241,000","5,000",원(KRW),"15,054,186","3,650,640,105,000",
097955,CJ제일제당 우,"106,500","-6,000","5.33","107,500","106,500","5,911","638,851,000","112,500","112,500","106,500","5,000",원(KRW),"1,327,433","141,371,614,500",
051500,CJ프레시웨이,"28,800","350","1.23","28,800","28,550","38,452","1,079,943,250","28,450","28,850","27,500","1,000",원(KRW),"11,871,586","341,901,676,800",
037560,CJ헬로,"5,400","-50","0.92","5,410","5,400","55,960","302,220,940","5,410","5,590","5,330","2,500",원(KRW),"77,446,865","418,213,071,000",
058820,CMG제약,"2,610","50","1.95","2,610","2,605","1,582,177","4,100,511,580","2,530","2,655","2,495","500",원(KRW),"138,892,244","362,508,756,840",
023460,CNH,"1,360","-5","0.37","1,365","1,360","46,722","63,278,625","1,350","1,365","1,345","2,500",원(KRW),"37,200,000","50,592,000,000",
065770,CS,"2,925","125","4.46","2,930","2,920","91,912","264,998,440","2,800","2,930","2,770","500",원(KRW),"18,835,150","55,092,813,750",
083660,CSA 코스믹,"4,170","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"19,747,641","82,347,662,970",
000590,CS홀딩스,"58,700","1,400","2.44","58,700","58,600","464","26,954,200","58,000","59,000","57,400","5,000",원(KRW),"1,154,482","67,768,093,400",
012030,DB,"782","-2","0.26","782","781","274,326","214,190,627","777","790","777","500",원(KRW),"201,173,933","157,318,015,606",
306620,DB금융스팩6호,"2,110","0","0.00","2,110","2,085","89","187,790","2,110","2,110","2,110","100",원(KRW),"4,840,000","10,212,400,000",
322780,DB금융스팩7호,"2,070","10","0.49","2,070","2,065","15,727","32,348,005","2,060","2,070","2,055","100",원(KRW),"4,550,000","9,418,500,000",
016610,DB금융투자,"4,330","40","0.93","4,330","4,305","60,152","257,838,210","4,290","4,330","4,225","5,000",원(KRW),"42,446,389","183,792,864,370",
005830,DB손해보험,"48,550","-3,750","7.17","48,600","48,550","326,540","16,016,207,500","51,500","52,100","48,500","500",원(KRW),"70,800,000","3,437,340,000,000",
000990,DB하이텍,"14,550","400","2.83","14,600","14,550","1,201,463","17,653,779,250","14,150","15,000","14,150","5,000",원(KRW),"44,398,588","645,999,455,400",
000995,DB하이텍1우,"37,500","900","2.46","37,150","36,750","2,351","87,826,150","36,450","38,100","36,450","5,000",원(KRW),"112,316","4,211,850,000",
139130,DGB금융지주,"6,850","-60","0.87","6,860","6,850","397,568","2,736,243,630","6,920","6,930","6,850","5,000",원(KRW),"169,145,833","1,158,648,956,050",
001530,DI동일,"73,000","-1,100","1.48","75,000","73,000","3,741","280,096,900","74,000","77,200","73,000","5,000",원(KRW),"2,421,420","176,763,660,000",
